round	run_id	exit	achieved	stop	steps	calls	tokens	wall_s
1	20260831-041717	1	false	budget	25	22	81210	274
1	-	9	false	EMULATOR_DEAD	0	0	0	0
1	20260831-055549	0	true	done	6	10	34351	164
1	20260831-063421	0	true	done	6	8	27400	74
1	20260831-063948	1	false	watchdog	35	30	138056	385
2	20260831-064623	1	false	budget	99	92	456760	1107
3	20260831-070500	0	true	done	72	65	315366	876
1	20260831-072218	1	false	watchdog	14	13	58763	243
2	20260831-072631	1	false	watchdog	44	38	183370	527
3	20260831-073527	1	false	watchdog	16	16	73371	210
1	20260831-074339	0	true	done	6	8	28391	73
1	20260831-212333-71708-0	0	true	done	8	8	30132	82
2	20260831-212507-71708-1	1	false	done	9	9	34376	97
3	20260831-212655-71708-2	1	false	done	14	13	52967	200
4	20260831-213027-71708-3	0	true	done	9	9	34605	93
5	20260831-213215-71708-4	0	true	done	10	10	39286	149
